order,family,genus,species,max lifespan
Ruminantia,Bovidae,Syncerus,Syncerus_caffer,32.8
Ruminantia,Bovidae,Litocranius,Litocranius_walleri,17.3
Ruminantia,Bovidae,Saiga,Saiga_tatarica,Unknown
Ruminantia,Bovidae,Oreamnos,Oreamnos_americanus,20.8
Ruminantia,Cervidae,Muntiacus,Muntiacus_crinifrons,11.0
Ruminantia,,,Przewalskium_albirostris,18.0
Ruminantia,,,Pantholops_hodgsonii,8.0
Ruminantia,Bovidae,Tragelaphus,Tragelaphus_scriptus,15.3
Ruminantia,Bovidae,Ovis,Ovis_canadensis,20.6
Ruminantia,,,Ovis_nivicola,Unknown
Ruminantia,Bovidae,Kobus,Kobus_leche,27.0
Ruminantia,Bovidae,Capra,Capra_sibirica,22.3
Ruminantia,Bovidae,Capra,Capra_ibex,21.0
Ruminantia,Cervidae,Alces,Alces_alces,22.0
Ruminantia,Moschidae,Moschus,Moschus_berezovskii,Unknown
Ruminantia,,,Tragulus_kanchil,Unknown
Ruminantia,,,Cervus_hanglu,Unknown
Ruminantia,Cervidae,Axis,Axis_porcinus,22.9
Ruminantia,Bovidae,Bos,Bos_taurus,20.0
Ruminantia,Bovidae,Sylvicapra,Sylvicapra_grimmia,15.4
Ruminantia,Bovidae,Beatragus,Beatragus_hunteri,Unknown
Ruminantia,Bovidae,Neotragus,Neotragus_pygmaeus,11.1
Ruminantia,Moschidae,Moschus,Moschus_chrysogaster,17.0
Ruminantia,,,Cephalophus_harveyi,Unknown
Ruminantia,Bovidae,Damaliscus,Damaliscus_lunatus,35.0
Ruminantia,Bovidae,Hippotragus,Hippotragus_niger,22.2
Ruminantia,Cervidae,Hydropotes,Hydropotes_inermis,13.9
Ruminantia,Bovidae,Hemitragus,Hemitragus_hylocrius,17.3
Ruminantia,Bovidae,Redunca,Redunca_redunca,Unknown
Ruminantia,Bovidae,Aepyceros,Aepyceros_melampus,25.6
Ruminantia,,,Bos_indicus,Unknown
Ruminantia,Bovidae,Ovis,Ovis_ammon,16.8
Ruminantia,Bovidae,Kobus,Kobus_ellipsiprymnus,30.0
Ruminantia,,,Giraffa_tippelskirchi,Unknown
Ruminantia,Moschidae,Moschus,Moschus_moschiferus,Unknown
Ruminantia,Bovidae,Eudorcas,Eudorcas_thomsonii,20.0
Ruminantia,Cervidae,Odocoileus,Odocoileus_hemionus,22.0
Ruminantia,Bovidae,Neotragus,Neotragus_moschatus,13.5
Ruminantia,Antilocapridae,Antilocapra,Antilocapra_americana,17.0
Ruminantia,Tragulidae,Tragulus,Tragulus_javanicus,14.0
Ruminantia,Bovidae,Oreotragus,Oreotragus_oreotragus,25.9
